"Time","divorce"
"2021-08-01",56
"2021-09-01",56
"2021-10-01",55
"2021-11-01",58
"2021-12-01",56
"2022-01-01",59
"2022-02-01",58
"2022-03-01",60
"2022-04-01",63
"2022-05-01",58
"2022-06-01",57
"2022-07-01",61
"2022-08-01",63
"2022-09-01",59
"2022-10-01",68
"2022-11-01",56
"2022-12-01",53
"2023-01-01",60
"2023-02-01",56
"2023-03-01",61
"2023-04-01",62
"2023-05-01",62
"2023-06-01",63
"2023-07-01",68
"2023-08-01",68
"2023-09-01",69
"2023-10-01",64
"2023-11-01",62
"2023-12-01",57
"2024-01-01",64
"2024-02-01",68
"2024-03-01",63
"2024-04-01",66
"2024-05-01",63
"2024-06-01",65
"2024-07-01",80
"2024-08-01",67
"2024-09-01",66
"2024-10-01",63
"2024-11-01",63
"2024-12-01",63
"2025-01-01",77
"2025-02-01",76
"2025-03-01",75
"2025-04-01",78
"2025-05-01",70
"2025-06-01",76
"2025-07-01",85
"2025-08-01",91
"2025-09-01",72
"2025-10-01",74
"2025-11-01",73
"2025-12-01",76
"2026-01-01",79
"2026-02-01",81
"2026-03-01",80
"2026-04-01",80
"2026-05-01",79
"2026-06-01",100
"2026-07-01",83
"2026-08-01",82
